## Using https://gist.github.com/jgomezdans/2f7850cbc5f508a6f00d7bb8d2eb602f
# Site name; Code ; nyears ; lat ; lon ; igbp_lc; investigator_lc
'La Ciguena Santa Fe';'AR-Lac';11;-29.264; -61.028;'Croplands';'Natural vegetation, tempered pasture with predominancy of cereal grains'
'Neustift/Stubai Valley';'AT-Neu';14;47.1167; 11.3175;'Mixed Forests';'Grasslands'
'Burdekin Delta';'AU-Cas';16;-19.56666667; 147.4;'Urban and Built-Up';'Sugarcane'
'Howard Springs';'AU-How';15;-12.4952; 131.15005;'Savannas';'Sugarcane'
'Melbourne (Preston)';'AU-Meb';13;-37.730564; 145.014675;'Urban and Built-Up';'Sugarcane'
'Tumbarumba';'AU-Tum';15;-35.6566; 148.1516;'Evergreen Broadleaf Forest';'Wet temperate sclerophyll'
'Brasschaat (De Inslag Forest)';'BE-Bra';18;51.3092; 4.5206;'Mixed Forests';'Mixed Forests'
'Lonzee';'BE-Lon';12;50.5516; 4.7461;'Croplands';'Cropland'
'Vielsalm';'BE-Vie';20;50.3051; 5.9981;'Mixed Forests';'Mixed Forests'
'Atlantic Forest Sao Paulo';'BR-Afs';10;-23.32847222; -45.09311111;'Evergreen Broadleaf Forest';'Mixed Forests'
'Ecotone Bananal Island';'BR-Ban';13;-9.824416667; -50.15911111;'Evergreen Broadleaf Forest';'Mixed Forests'
'Braganca (Para)';'BR-Bra';16;-0.723708333; -48.50809722;'Cropland/Natural Vegetation Mosaic';'Mangrove'
'Caxiuana Forest-Almeirim';'BR-Cax';17;-1.719719444; -51.45898333;'Evergreen Broadleaf Forest';'Undisturbed forest'
'Eucaliptus Sao Paulo';'BR-Euc';10;-21.5835; -47.60230556;'Evergreen Broadleaf Forest';'Undisturbed forest'
'Rond.- Faz. Nossa Senhora-Ji Parana-pasture';'BR-Ji1';17;-10.76180556; -62.35722222;'Savannas';'Cleared forest, pasture'
'Rond.- Rebio Jaru Ji Parana- Tower A';'BR-Ji2';17;-10.08319444; -61.93090278;'Evergreen Broadleaf Forest';'Tropical broad forest'
'Rond.- Rebio Jaru Ji Parana- Tower B';'BR-Ji3';17;-10.07805556; -61.93309722;'Evergreen Broadleaf Forest';'Forest'
'Manaus - ZF2 C14';'BR-Ma1';17;-2.589202778; -60.11490278;'Evergreen Broadleaf Forest';'Forest'
'Manaus - ZF2 K34';'BR-Ma2';17;-2.609097222; -60.20929722;'Evergreen Broadleaf Forest';'Forest'
'Sinop- Mato Grosso';'BR-Mtg';10;-11.41229167; -55.32470278;'Evergreen Broadleaf Forest';'Forest'
'Brasilia-Reserva Ecol  Aguas Emendadas';'BR-Res';17;-15.55; -47.6;'Woody Savannas';'Forest'
'Pandeiros';'BR-Pan';11;-14.84827778; -43.98797222;'Woody Savannas';'Forest'
'Santarem-Km67-Primary Forest';'BR-Sa1';15;-2.856666667; -54.95888889;'Evergreen Broadleaf Forest';'Dense upland tropical moist forest with large emergent trees'
'Sao Gabriel da Cachoeira';'BR-Sga';12;0.212333333; -66.76473333;'Evergreen Broadleaf Forest';'Dense upland tropical moist forest with large emergent trees'
'Sao Paulo Cerrado';'BR-Sp1';18;-21.61947222; -47.64988889;'Evergreen Broadleaf Forest';'Savannah'
'Sao Paulo Sugar Cane';'BR-Sp2';20;-21.63705556; -47.79025;'Woody Savannas';'Sugar cane'
'Brasilia - Campo Sujo Bienal Tardia';'BR-Su1';17;-15.95; -47.86666667;'Woody Savannas';'Sugar cane'
'Brasilia - Campo Sujo Quadrienal';'BR-Su2';17;-15.95; -47.86666667;'Woody Savannas';'Sugar cane'
'ON-Borden Mixedwood';'CA-Cbo';21;44.3185; -79.9342;'Mixed Forests';'Mixed deciduous forest'
'BC-Campbell River 1949 Douglas-fir';'CA-Ca1';19;49.8673; -125.3336;'Evergreen Needleleaf Forest';'Temporate Douglas fir forest'
'BC-Campbell River 2000 Douglas-fir';'CA-Ca2';16;49.8705; -125.2909;'Evergreen Needleleaf Forest';'Temporate Douglas fir forest'
'BC-Campbell River 1988 Douglas-fir';'CA-Ca3';15;49.5346; -124.9004;'Evergreen Needleleaf Forest';'Young Douglas fir plantation'
'ON-Groundhog River Mixedwood';'CA-Gro';13;48.2173; -82.1555;'Mixed Forests';'Young Douglas fir plantation'
'AB-Lethbridge Grassland';'CA-Let';18;49.7092; -112.9403;'Grasslands';'Short/mixed grass prairie (C3/C4)'
'MB-Northern Old Black Spruce';'CA-Man';15;55.8800; -98.4810;'Evergreen Needleleaf Forest';'Evergeen coniferous forests, boreal needle forest, old black spruce trees'
'ON-Mer Bleue Eastern Peatland';'CA-Mer';18;45.4094; -75.5187;'Permanent Wetlands';'Slightly raised ologotrophic (ombrotrophic) bog peatland, fen & wetlands'
'NB-Nashwaak Lake 2 1975 Balsam Fir';'CA-Na2';10;46.4758; -67.0769;'Mixed Forests';'balsam fir'
'SK-Old Aspen';'CA-Oas';20;53.6289; -106.1978;'Mixed Forests';'Boreal aspen forest'
'SK-Southern Old Black Spruce';'CA-Obs';20;53.9872; -105.1178;'Evergreen Needleleaf Forest';'Mixed boreal forest, old Jack Pine'
'SK-Old Jack Pine';'CA-Ojp';22;53.9163; -104.6920;'Evergreen Needleleaf Forest';'Mixed boreal forest, old Jack Pine'
'QC-2000 Harvested Black Spruce/Jack Pine (HBS00)';'CA-Qcu';10;49.2671; -74.0365;'Evergreen Needleleaf Forest';'Regenerating black spruce, moss and ericaceous understory, some planted jack pine'
'SK-Fen';'CA-Fen';14;53.8021; -104.6180;'Evergreen Needleleaf Forest';'Regenerating black spruce, moss and ericaceous understory, some planted jack pine'
'SK-1994 Jack Pine';'CA-SJ1';15;53.9084; -104.6559;'Evergreen Needleleaf Forest';'Regenerating black spruce, moss and ericaceous understory, some planted jack pine'
'SK-2002 Jack Pine';'CA-SJ2';13;53.9447; -104.6493;'Evergreen Needleleaf Forest';'Regenerating black spruce, moss and ericaceous understory, some planted jack pine'
'SK-1975 (Young) Jack Pine';'CA-SJ3';13;53.8758; -104.6453;'Evergreen Needleleaf Forest';'Regenerating black spruce, moss and ericaceous understory, some planted jack pine'
'ON-Turkey Point 2002 White Pine';'CA-TP1';13;42.6609; -80.5595;'Cropland/Natural Vegetation Mosaic';'Temperate White Pine Forest'
'ON-Turkey Point 1974 White Pine';'CA-TP3';13;42.7068; -80.3483;'Mixed Forests';'Temperate White Pine Forest'
'ON-Turkey Point 1939 White Pine';'CA-TP4';13;42.7098; -80.3574;'Mixed Forests';'Temperate White Pine Forest'
'Eucalyptus of Congo-Hinda';'CG-Euc';16;-4.0; 12.0;'Evergreen Broadleaf Forest';'Forest plantation'
'Chamau grassland';'CH-Cha';10;47.2102; 8.4104;'Cropland/Natural Vegetation Mosaic';'Grasslands'
'Laegeren';'CH-Lae';10;47.4781; 8.3650;'Mixed Forests';'Mixed Forests'
'Seebodenalp';'CH-See';11;47.0567; 8.4644;'Mixed Forests';'Grasslands'
'Davos- Seehorn forest';'CH-Dav';17;46.8153; 9.8559;'Evergreen Needleleaf Forest';'Evergreen Needleleaf Forests'
'Beijing Daxing';'CN-Bed';11;39.5306; 116.2519;'Croplands';'Plantation'
'Changbaishan';'CN-Cha';14;42.4025; 128.0958;'Mixed Forests';'Temperate broad-leaved conifer mixed forest'
'Damxung';'CN-Dan';13;30.8500; 91.0833;'Grasslands';'Temperate broad-leaved conifer mixed forest'
'Dinghushan';'CN-Din';14;23.1667; 112.5333;'Evergreen Broadleaf Forest';'Temperate broad-leaved conifer mixed forest'
'Dongtan 1';'CN-Do1';12;31.5167; 121.9607;'Water';'Introduced wetland vegetation'
'Dongtan 2';'CN-Do2';12;31.5847; 121.9035;'Woody Savannas';'Introduced wetland vegetation'
'Dongtan 3';'CN-Do3';12;31.5169; 121.9717;'Water';'Introduced wetland vegetation'
'Duolun-cropland';'CN-Du1';11;42.0456; 116.6714;'Grasslands';'Introduced wetland vegetation'
'Duolun-grassland';'CN-Du2';11;42.0467; 116.2836;'Grasslands';'Introduced wetland vegetation'
'Haibei Meadow';'CN-Hab';14;37.6133; 101.3050;'Grasslands';'Introduced wetland vegetation'
'Kubuqi-populus forest';'CN-Ku1';11;40.5383; 108.6936;'Grasslands';'Introduced wetland vegetation'
'Kubuqi-shrubland';'CN-Ku2';11;40.3808; 108.5486;'Grasslands';'Introduced wetland vegetation'
'Qianyanzhou';'CN-Qia';14;26.7333; 115.0667;'Woody Savannas';'Introduced wetland vegetation'
'Xilinhot-degraded Leymus grassland';'CN-Xi1';11;43.5544; 116.2797;'Grasslands';'Introduced wetland vegetation'
'Xishuangbanna';'CN-Xsh';14;21.9608; 101.2003;'Evergreen Broadleaf Forest';'Introduced wetland vegetation'
'Los Inocentes';'CR-Lin';11;11.01667; -85.5;'Evergreen Broadleaf Forest';'Introduced wetland vegetation'
'Santa Rosa National Park';'CR-Sro';11;10.81472; -85.615;'Cropland/Natural Vegetation Mosaic';'Introduced wetland vegetation'
'Bily Kriz- Beskidy Mountains';'CZ-BK1';13;49.5021; 18.5369;'Evergreen Needleleaf Forest';'Evergreen Needleleaf Forests'
'Berchtesgaden';'DE-Ber';14;47.6167; 12.5833;'Mixed Forests';'Evergreen Needleleaf Forests'
'Gebesee';'DE-Geb';13;51.1001; 10.9143;'Croplands';'Cropland'
'Grillenburg- grass station';'DE-Gri';11;50.9495; 13.5125;'Mixed Forests';'Grasslands'
'Hainich';'DE-Hai';13;51.0792; 10.4530;'Mixed Forests';'Deciduous Broadleaf Forests'
'Kannenbruch Forest';'DE-Kan';12;53.7843; 10.6049;'Mixed Forests';'Deciduous Broadleaf Forests'
'Klingenberg';'DE-Kli';11;50.8929; 13.5225;'Croplands';'Cropland'
'Oberbarenburg';'DE-Obe';11;50.7836; 13.7196;'Evergreen Needleleaf Forest';'Evergreen Needleleaf Forests'
'Solling F1';'DE-Sol';21;51.7667; 9.5833;'Evergreen Needleleaf Forest';'Unmanaged mature'
'Tharandt- Anchor Station';'DE-Tha';19;50.9636; 13.5669;'Evergreen Needleleaf Forest';'Evergreen Needleleaf Forests'
'Soroe- LilleBogeskov';'DK-Sor';17;55.4859; 11.6446;'Deciduous Broadleaf Forest';'Deciduous Broadleaf Forests'
'Llano de los Juanes';'ES-LJu';10;36.9266; -2.7521;'Closed Shrublands';'Open Shrublands'
